655 320 225
264 339 135
577 532 45
626 575 270
312 736 135
629 492 270
622 658 135
457 700 270
341 721 45
273 742 225
291 670 270
277 633 135
621 510 45
510 693 45
360 469 270
671 487 180
478 676 225
660 629 0
619 463 270
340 432 90
664 324 135
730 259 135
494 423 270
379 727 270
603 650 90
542 547 45
541 548 225
556 569 135
571 498 180
501 656 0
713 502 90
485 717 0
712 354 0
720 402 0
408 273 90
419 257 0
746 300 90
675 403 90
293 431 225
595 268 270
477 619 180
309 683 135
253 367 90
554 609 90
431 452 135
538 322 45
264 364 135
641 654 135
730 480 180
303 693 0
375 637 270
502 444 135
469 747 0
680 742 135
283 634 180
625 604 45
283 613 45
585 411 90
724 455 0
375 715 270
539 476 225
571 562 135
292 502 180
456 348 270
381 353 45
681 399 270
314 453 270
270 576 45
528 441 90
739 423 270
496 623 135
298 388 0
639 314 0
689 427 135
312 656 225
638 374 225
672 606 0
660 704 180
441 342 180
715 503 90
500 729 225
679 567 135
506 652 180
323 257 270
679 538 180
316 493 0
654 726 45
435 526 45
443 624 45
717 341 270
279 557 45
414 393 270
577 361 180
558 689 180
520 380 180
546 255 270
674 650 45
480 257 135
723 335 270
368 425 45
266 706 270
411 664 180
349 682 90
387 709 0
619 693 0
571 697 225
334 331 270
561 357 270
402 250 135
331 324 90
730 317 180
549 262 225
688 276 0
686 393 90
703 364 45
405 532 0
492 427 0
303 520 225
464 642 45
685 626 180
593 734 45
489 280 135
508 625 0
744 660 0
288 559 0
376 330 270
268 318 90
409 277 180
553 529 225
585 467 90
385 610 135
315 608 270
737 305 180
357 415 90
309 674 270
360 438 45
659 656 0
477 491 45
289 537 180
608 295 135
474 598 270
456 390 180
531 299 180
574 285 135
270 718 135
598 604 180
272 501 270
381 604 135
443 489 0
379 710 90
580 372 0
728 404 90
259 678 0
642 392 90
620 578 225
510 570 270
367 474 180
660 647 90
700 544 45
250 259 270
452 306 225
431 587 270
514 420 270
427 662 135
275 690 180
480 301 0
552 347 0
260 732 90
611 420 225
610 573 270
314 399 45
620 538 45
633 263 225
501 458 0
735 730 135
280 708 90
713 439 135
262 646 270
296 319 90
388 312 180
405 506 90
603 551 270
351 562 90
463 332 225
662 567 90
734 496 270
577 631 180
712 263 180
279 296 90
506 613 0
378 688 225
542 250 135
356 483 225
496 311 45
538 614 135
317 256 270
643 348 270
255 261 0
689 542 180
624 657 270
729 332 45
337 267 45
389 599 90
662 348 225
454 351 45
428 738 180
545 678 45
508 388 270
606 277 270
606 531 180
330 303 270
446 437 45
403 534 0
700 356 0
526 307 45
724 625 0
590 660 90
292 255 0
459 578 225
455 676 225
339 354 270
260 640 180
459 556 90
707 482 135
591 436 45
536 672 225
296 669 0
322 647 90
709 326 225
687 707 225
256 681 45
722 268 45
562 519 180
306 390 225
677 703 45
630 697 45
579 746 90
451 669 45
447 445 135
710 300 0
657 299 180
603 271 0
412 439 45
276 365 180
292 306 90
368 590 90
525 738 90
418 673 180
294 428 135
589 257 270
720 516 270
393 328 135
674 642 45
459 705 180
451 346 135
674 461 180
388 387 90
285 706 45
663 598 0
492 709 225
461 732 0
386 313 0
266 427 180
256 507 45
727 434 135
277 592 225
419 250 180
734 732 90
704 718 270
305 691 270
323 594 45
500 632 225
423 585 135
423 709 0
524 568 180
727 749 135
586 613 135
469 271 90
476 745 225
597 701 0
326 428 135
621 631 180
490 341 45
607 676 0
263 688 225
731 306 270
361 443 225
493 354 45
351 476 90
391 351 225
490 625 225
639 446 0
429 535 45
555 386 225
678 369 0
728 587 0
435 444 135
307 449 90
433 415 45
497 590 90
525 398 225
606 359 90
395 520 180
612 568 45
400 271 45
314 626 45
322 443 225
519 502 180
384 672 135
293 625 225
434 633 225
553 688 225
622 316 180
743 350 180
655 652 135
322 500 225
742 272 0
356 389 0
379 557 270
502 657 135
661 438 0
490 583 225
696 728 0
612 662 90
716 692 45
271 731 135
528 371 90
482 286 0
323 619 180
605 497 225
592 553 180
536 672 90
583 626 45
542 283 45
487 459 45
384 602 135
582 686 0
500 516 180
355 429 45
480 553 0
372 566 0
268 271 270
577 280 45
747 690 180
649 597 135
684 495 45
540 679 135
599 749 135
605 545 0
507 515 45
311 344 180
262 524 180
541 618 135
470 404 135
527 500 225
655 323 180
725 549 135
361 676 0
316 737 90
743 673 45
392 322 90
389 333 270
440 738 180
499 742 45
475 604 45
462 408 225
493 359 225
620 399 45
579 563 225
716 453 135
453 478 180
634 595 135
705 309 135
488 370 270
466 532 180
635 567 270
552 565 225
604 727 45
585 580 90
701 343 135
612 597 270
413 355 0
521 305 0
571 748 90
404 624 270
378 688 135
415 675 45
466 704 270
553 715 0
701 723 225
317 556 225
347 546 135
530 258 45
351 364 225
281 750 270
671 626 225
490 297 225
456 386 135
564 287 90
314 504 135
