655 320 225
264 339 135
577 532 45
626 575 270
312 736 135
629 492 270
622 658 135
457 700 270
341 721 45
273 742 225
291 670 270
277 633 135
621 510 45
510 693 45
360 469 270
671 487 180
478 676 225
660 629 0
619 463 270
340 432 90
664 324 135
730 259 135
494 423 270
379 727 270
603 650 90
542 547 45
541 548 225
556 569 135
571 498 180
501 656 0
713 502 90
485 717 0
712 354 0
720 402 0
408 273 90
419 257 0
746 300 90
675 403 90
293 431 225
595 268 270
477 619 180
309 683 135
253 367 90
554 609 90
431 452 135
538 322 45
264 364 135
641 654 135
730 480 180
303 693 0
375 637 270
502 444 135
469 747 0
680 742 135
283 634 180
625 604 45
283 613 45
585 411 90
724 455 0
375 715 270
539 476 225
571 562 135
292 502 180
456 348 270
381 353 45
681 399 270
314 453 270
270 576 45
528 441 90
739 423 270
496 623 135
298 388 0
639 314 0
689 427 135
312 656 225
638 374 225
672 606 0
660 704 180
441 342 180
715 503 90
500 729 225
679 567 135
506 652 180
323 257 270
679 538 180
316 493 0
654 726 45
435 526 45
443 624 45
717 341 270
279 557 45
414 393 270
577 361 180
558 689 180
520 380 180
546 255 270
674 650 45
480 257 135
723 335 270
368 425 45
266 706 270
411 664 180
349 682 90
387 709 0
619 693 0
571 697 225
334 331 270
561 357 270
402 250 135
331 324 90
730 317 180
549 262 225
688 276 0
686 393 90
703 364 45
405 532 0
492 427 0
303 520 225
464 642 45
685 626 180
593 734 45
489 280 135
508 625 0
744 660 0
288 559 0
376 330 270
268 318 90
409 277 180
553 529 225
585 467 90
385 610 135
315 608 270
737 305 180
357 415 90
309 674 270
360 438 45
659 656 0
477 491 45
289 537 180
608 295 135
474 598 270
456 390 180
531 299 180
574 285 135
270 718 135
598 604 180
272 501 270
381 604 135
443 489 0
379 710 90
580 372 0
728 404 90
259 678 0
642 392 90
620 578 225
510 570 270
367 474 180
660 647 90
700 544 45
250 259 270
452 306 225
431 587 270
514 420 270
427 662 135
275 690 180
480 301 0
552 347 0
260 732 90
611 420 225
610 573 270
314 399 45
620 538 45
633 263 225
501 458 0
735 730 135
280 708 90
713 439 135
262 646 270
296 319 90
388 312 180
